airline_sentiment,text
negative,"@USAirways - you kind of screwed my day up, at least it was outbound, but you did save it by stranding me in a @RenHotels @MarriottRewards"
negative,@USAirways nightmare trying to get to Costa Rica from PHL today. Stuck in Miami and no one answers at 800 number.
negative,@USAirways @PeterPiatetsky Ummmm I think US Air's computers@were@down for hours - my flight is 3 hours Late Flight.
negative,"@USAirways comedy of errors continues..."" We can't get into our gate, there is a broken down truck in the way"" #fail"
negative,@USAirways Instructions say to CALL. I'm just doing what it said to do.
positive,@USairways Since I am a loyal USAir customer I am sure that they will make this up to me-right now I want to get home &amp; back to work.
negative,@USAirways The fact we did not get notified hindered our ability to look for alternate flights before they were snapped up.
negative,@USAirways you're really fudgin up with all these delays 😡 #justwantmybed
negative,"@USAirways Just discovered that they billed us $300 for the rescheduled flight, which cost me a second day of lost work."
negative,@USAirways Today USAir Cancelled Flightled our rescheduled flight &amp; did not notify us except possibly to our home phone-not helpful since we are in CO
negative,@USAirways and I can't get through on any phones
negative,@USAirways Thanks for ruining my last night of vacation because I have to worry about my flight because y'all don't have record of it
positive,"@USAirways - Janet &amp; my DEN-PHL  flight Cancelled Flightled Saturday, USAIR rescheduled automatically &amp; notified us by email at no additional cost."
negative,"@USAirways after 2 hrs of trying to reach real human, finally did and been on hold for 1:36 hrs for out of synch reservation."
negative,@usairways @usair   idiots took our plane &amp; gave it to someone else. Fudgers!!!! Flight 799 from Philly to Orlando
negative,@USAirways Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT @pattonoswalt you're my only hope.
negative,"@USAirways delayed 2.5 hours @longbeachairport trying to get to @PHXSkyHarbor; give us an update, please???"
negative,@USAirways @PHLAirport always nice when a customer service manager threatens customers standing in his understaffed lines for the last hour
negative,@USAirways - just passed the 3 hour mark #onholdwith you for THIS call.  Gave up after 2.5 this morning.
negative,"@USAirways What is with your lost &amp; found.  My wife lost her phone in Philly, &amp; followed your web instructions to call an 800#.  No answer."
neutral,"@USAirways Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great."
neutral,@USAirways follow/dm please
negative,@USAirways - have dinner reservations in a few minutes -- and I've been trying to get through to you since BREAKFAST. #onholdwith
negative,"@USAirways CLT, please send more than one cust svc rep to your cust svc counter to assist a line out the door. http://t.co/v24QNp3DOi"
negative,@USAirways help! I've been on hold for almost two hours. Trying 2 get home.
negative,"@USAirways  ""please call Late Flightr"" is not acceptable - but neither is being on hold for 5+ hrs #onholdwith"
negative,@USAirways been sitting at gate for over 25 min on us 728! What gives???
negative,@USAirways - I wouldn't need to wait on hold for 6+ hours if your website worked correctly - please respond!
negative,"@USAirways - how do I get an answer to my question?  Holding for hours , after 6x getting your message just said you aren't taking calls."
negative,@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning
negative,"@USAirways worst service at Reagan Int. I rarely post about a company or service, but I am so annoyed. Not weather reLate Flightd…incompetence."
negative,@USAirways - been on hold for more than 2.5 hours - this after not getting through after 2 hours on hold this morning with no answer - help!
negative,@USAirways So far....my phone wait time is longer than @ABCNetwork's #Oscars coverage. #WhatCustomerService
negative,"@USAirways Chairman Preferred with 518,758 lifetime miles. What is my US Air reward, no #firstclass upgrades on @AmericanAir as usual."
neutral,@USAirways Flight 4424 operated by @FlyRepublicAir (N813MA) arrives at @FlyTPA following flight from Reagan National http://t.co/OSc9OFlol3
negative,@USAirways 45 minute delay for take off and 30 minute wait for checked bags? Really?
negative,@USAirways I've been on hold for 90 minutes. This is terrible customer service. You messed up my reservation! http://t.co/oyLgeao7Y8
negative,@USAirways why won't you help me get my luggage back? I'm a teen trying to change the world in DC #Flight5182 #usairways
negative,@USAirways Southern Hospitality luggage delivery service from SAV is AWFUL. Great @ delivering empty promises but not luggage #8hrs&amp;waiting
negative,@USAirways 1st flight with U.S. Air Plane had mechanical issues. Wait 90 minutes for help from customer service. No help from management
negative,"@USAirways  flight missed due to mech issue. No food voucher, transported to different airport, no rental reimbursement 😡"
negative,@USAirways @PHLAirport we don't control your stupidity in not having room to have a plane come in. You better not mess with us now.
negative,@USAirways  Interesting you forward compliments but never complaints!  World's worst airline #GoingForGreatnessFAIL
negative,"@USAirways - flights 4500 AND 403 delayed for ""crew availability?""  What gives? I'm getting to TPA 2.5 hrs past my scheduled arrival."
negative,"@USAirways how is it that the airport (DCA) and the airline mess up our flights, but also will not cover our hotel costs? At DCA for 5hrs..."
negative,@USAirways in line for 90 min after mechanical issues caused me to miss my flight. 1 rep for 20 upset people. http://t.co/XFWXsRwkHa
positive,@USAirways the entire flight crew on flight 738 from BOS to PHL is doing a wonderful job and making this experience not totally suck. 😊
negative,@USAirways Can someone please answer my call. I have been waaaaaaiting!!!
negative,@USAirways is holding my luggage hostage from flight 5182
positive,"@USAirways @AmericanAir major issues getting out of Boston, but your crew has been exceptional. Let's see how things roll out in Philly."
negative,"I've been trying to set up my phone interview for days, and hoping the position won't be filled because the link doesn't work. @USAirways"
neutral,@USAirways do you have an email??
negative,"@USAirways - had to call to find out I was re-booked tomorrow, why ask for my number an email for day of info"
negative,"@USAirways   US AIRWAYS DON'T CARE FOR CUSTOMERS. Worst experience today with US airways.. Myself, wife and toddler"
positive,@USAirways thanks to the whole team for an on-time flight despite inclement weather http://t.co/eQePkkPSXM
negative,"@USAirways your rude staff said"" I don't care that we are out of market place food you're going on vacation and I have to work"" nice huh"
neutral,@USAirways what happens to frequent flyer miles earned once merger is complete with AA?
negative,@USAirways got off stand by list and on earlier flight to DCA. What is the status of my checked bag? Was supposed to be on #4047 thanks
negative,@USAirways why does this flight keep getting delayed Late Flightr and Late Flightr?
neutral,@USAirways any idea when flight 703 to Miami will leave for a second time?
negative,@USAirways I have contacted them but only got an automated response that won't give me the code.
neutral,"@USAirways @GregWallace66 Yea, they will give you 5 cents on the dollar!"
negative,@USAirways Really a letter that says you will discuss serving drunks more drinks that doesn't help the current situation
positive,"@USAirways great, thank you!"
negative,@USAirways @AmericanAir so does that mean @AmericanAir that you might care about my sister be assaulted on one of your flights
negative,@USAirways on top of that a dozen ppl missed connections and you have ONE person at customer service? Abysmal!
positive,@USAirways it's not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!
negative,@USAirways @AmericanAir how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them
negative,"@USAirways your service at PHL is abysmal. An hour on the runway waiting for a gate, no information anywhere, missed my connection abysmal!"
negative,@USAirways @AmericanAir  worst customer service ever how can you let people be assaulted on your flights and do nothing about it
negative,@USAirways @AmericanAir Not providing pilots for your flights: is this a new feature of your merger? #efficencies
neutral,@USAirways do you know what flight the pilots for 1581 are coming in on? Thanks.
negative,@USAirways so I guess you are ok with people being sexually assaulted on your flights nice customer service
negative,@USAirways PLEASE HELP need our plane to wait to go to #ELMIRA on Tarmac over an hr baggage took 45 and still not here thru customs
negative,@USAirways @AmericanAir USAIR #703 has returned to PHL due to issues with the fire detectors. What happens next?
negative,"@USAirways ur specialist said they would talk to the stewardess about not serving drunks drinks, REALLY how does that help"
negative,"@USAirways what is wrong in Boston? Why are only your plains not leaving tonight? Son needs to get back to state college, PA"
negative,@USAirways over two hours on hold to talk to an agent..then it disconnects me.  been trying for two days! Wtf! Hire some CSRs u make $ now
negative,@USAirways so you don't have a pilot now for #clt ✈ #ord for at least another hour. Why on earth would you board the plane? Makes no sense!
negative,@USAirways flight 2120. Please get us a flight plan already. How is this an issue in 21st century?
negative,"@USAirways #fail when the inbound flight arrives after the scheduled outbound departure, and still ""on time"" http://t.co/k0MHZrJF6e"
negative,@USAirways thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly. istead of raleigh to philly
negative,"@USAirways rant cont... To top it all off, rescheduled flight to TPA at 10:10 is already delayed. How can they be that bad?"
negative,@USAirways Can you advise on what's happening with departure delays from CLT?
neutral,@USAirways Can you provide me with info about checking strollers and car seats?  Costs?  Restrictions?  Need to bring 2 seats 1 stroller.
negative,@USAirways @AmericanAir. delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed
positive,@USAirways Another great flight #FunFlightAttendants. Thanks for showing my dad wonderful customer service. #flt635 #LAX #PHX #SundayFunday
negative,@USAirways What is happening? Have been sitting in Philly for hours. Pls take care of Flight 759 to Chicago. At least least us know! #soLate Flight
negative,@USAirways @PHLAirport can you pm me w answer if flt to 4278 is still on time. Been on ground over an hr w no gate. Need help. Pls
negative,@USAirways @PHLAirport how can a plane scheduled to come in on time and actually happen. Then you bozos don't have any room us. #incompetent
negative,@USAirways @PHLAirport this is the reason I avoid @PHLAirport and @USAirways like the plague. Glad to see this merger is working well. #dumb
negative,@USAirways @AmericanAir Any word on accommodations for the passengers on US 746 when they arrive in Charlotte? Lot of tired passengers here
positive,"@USAirways @AmericanAir Thank you for a couple of easy, hassle free flights today, professional and friendly staff made everything easy!"
negative,@USAirways hire smarter IT people if your systems keep crashing instead of some of the mooks you man some of these airports with. #goDelta
negative,@USAirways flight 614 keeps telling a few more mins to take off its been an hour. First time with you not the best #lies #brokenpromises
negative,@USAirways what is wrong with you guys and your inability to get planes in and out of Philly on time. Our pilot gave us a answer that was bs
negative,@USAirways you guys have to be the worst. We are flying into Philadelphia and have only two jetways available for an on time plane.#pisspoor
neutral,@USAirways I have received two reservation check-ins for two different flights for my one flight tomorrow morning. Need assistance ASAP
negative,@USAirways where's our luggage? Been waiting more than an hour! Flight 2118.
neutral,@USAirways Cancelled Flightled the last part of a ticket and am confused from the email I received whether value remains. Is there someone I can ask?
negative,@USAirways You suck in Philadelphia.  Let us off this plane! #phl
negative,"@USAirways @AmericanAir pissing off thousands of East coast customers.  When the delay is longer than the flight,  you = fail"
neutral,@USAirways please have your people hold flight 599 from Phoenix to San Jose.  We pulling up to the gate! Scheduled to depart at 5:40
negative,@USAirways 2 hours and counting. ..what kind of travel voucher do I get for this??
negative,"@USAirways we've been waiting at the gate for 2 hrs, why are we now waiting to stow the luggage?"
negative,"@USAirways That's 1h 10m waiting to get my bag, 1h40m of flight delays, plus the 2hrs of delay I had on the way out. Never flying you again."
negative,@USAirways #stuck in Florida with no flights... Service sucks here. #nofood #nodrinks #nohelp
negative,"@USAirways - why can't the gate agent on flight #759 provide an update? Seriously, this is ridiculous how long people have been waiting"
negative,@USAirways your IVR hung up on me because of high call volume? I need help. Call me
negative,"@USAirways A tweeted apology is not enough for delay fiasco. NONE for insult from gate agent is worse. Except for Mark N., all bad at CLT."
neutral,"@USAirways sorry, we are in Philly. Should've told you that."
negative,@USAirways pilot for flight 729 didn't show until after departure ⌚️ &amp; now there's a broken computer. Next time flying @United. #ALWAYSLate Flight
neutral,@USAirways pilot says that we are going to take off in 10 minutes. So maybe the systems came back online?
negative,@USAirways it's flt 4827 to ELM - still no gate and still have to make it thru customs
negative,@USAirways @AmericanAir According to your costumer support your website is holding my money hostage and you cant do anything about it..
negative,"@USAirways any way to tell our gate we are going? Stuck on tarmack, int'l flt FLT 878 going to ELM Gate F6"
negative,"@USAirways sucks. Delayed my mom's flight 2X, Cancelled Flightled it, delayed her flight again today,all for mech. issues.She had 2 sleep in airport!"
negative,@USAirways when your routing system goes down which grounds all your long haul flights you should think about a #failover plan
negative,@USAirways @Truthh4 they didn't give you the wifi password? Smh
negative,@USAirways @AmericanAir Sitting at the gate on Flight 719 for an hour due to computers being down. What backup plan is in place for this??
negative,@USAirways ...was Cancelled Flightled and now I need to locate my baggage
negative,@USAirways I need help locating my bag. I arrived in Denver last night at midnight from charlotte but my  8am flight to Hayden/steamboat
neutral,@USAirways #555PHLtoSLC this is happening now.
negative,@USAirways what is going on with the computers? Why is my flight grounded? Why does your airline suck so much? #UnansweredQuestions
negative,@USAirways @AmericanAir 2hrs Late Flightr finally taking off😂😂😂
negative,"@USAirways holding your passengers hostage during your computer crash is not customer friendly, let us off the plane or get us moving"
negative,@USAirways been on hold for over and hour now.
negative,@USAirways pilot tells me that all @AmericanAir and US Airways flights across the country have stopped due to a computer system failure.
negative,@USAirways Flt 4609 landed over half an hour ago. Not a single bag yet on the baggage claim. Hate you so much right now.
negative,@USAirways @AmericanAir will one of you please answer the phone?
negative,@USAirways no word on delay reasons @LGB but Twitter is aflame with flight tracking computer crash. Rumors. True or Not?
negative,"@USAirways stuck at the gate in Charlotte, NC waiting for ""release papers"" and a fix for a broken computer system."
negative,@USAirways Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?
negative,@USAirways not Cancelled Flightling #837 because you don't want to put us in a hotel for night is our guess
neutral,@USAirways can I get a beer please. Flight #1715
negative,@USAirways really? 8 hr delay in Virgin Island and not even a food voucher.
negative,@usairways the. Worst. Ever. #dca #customerservice
negative,@USAirways 2nd February in a row- stranded us when we try to return from Cancun! No contact info- no way to rebook! #badcustomerservice
negative,@USAirways printer problems causing us to sit on the runway for 45 mins. Get it together.
negative,@USAirways nothing like back to back delayed flights let hope this one isn't 12 hours like the last time.
negative,@USAirways can you please help me find my luggage since you're the one who lost it? Your customer service SUCKS.
negative,@USAirways What is happening at Reagan Airport DCA? Long lines and four people working checkIn! #unhappy #DCA
negative,"@USAirways @AuroraBIZ check your bag, @PHLAirport bag handlers broke into my suitcase and stole my camera, bag was returned in a trash bag"
negative,@usairways hopefully your crappy service improves as u become @americanairlines #angryairtravel #winterstorm
negative,@usairways 2 people working the counter at #dca? Massive lines. Poorly played. #winterstorm
neutral,@USAirways what's going on in CLT?
negative,@USAirways @USAirwaysCenter My lost bag lands in Hartford at 639p tonight. Will it be delivered to Danbury CT tonight?
neutral,@USAirways So any ideas when the IT Geeks will plug in the servers so 639 can be on its way to PHX?
negative,@USAirways who do I contact about my awful experience I had 2/15/15 with @USAirways Flight 713 BUF-CLT?
negative,@USAirways @AmericanAir  nvm my bad it's been an hour and a half #thanks
negative,@USAirways after a crappy flight due to delays and rude staff members I'm happy to report after paying $25 to check my luggage it's ruined
negative,@USAirways always letting me down. 👊
positive,@USAirways please keep Emily at you gso airport ticketing on staff she is amazing
negative,"@usairways I don't understand why I can't get my missing miles? I was on the flight, it was in my Dividend Miles Account… #help"
negative,"@USAirways can't seem to find the pilots for our 6pm flight, never seen anything like it before #drunkpilots http://t.co/Zira2z3UDc"
negative,@USAirways really? No meal vouchers for a 7 hour flight delay out of Virgin Islands...
negative,@USAirways but the automated message says the line is too busy to join the queue! #stuckintheloop
negative,"@usairways HI again! How you suggested I contacted u via phone, sent a mail with the original ticket &amp; the result: http://t.co/214i0RTIH4"
negative,"@USAirways stuck on the ramp at DCA, US Air computer system crashed...everywhere."
negative,@USAirways #flight2031 the flight to Hell
negative,"@USAirways Gave up after more than 2 hours on hold. Still need that receipt; last time it was promised, it never arrived. Help?!"
negative,@USAirways @AmericanAir just be prepared for a claim if that bag is lost ... Too many valuables to carry in my hands. #us2146 to #aa2924
negative,"@USAirways told me I deserved to be delayed because I booked the last flight and then I hear ""the only inconvience is missing your flight"""
neutral,@USAirways Any update on the computer outtage affecting flights? Is this national or just Northeast? ETA on resolution?
negative,"@USAirways flight 2031, worst experience we've ever had on a flight. Regretting opening their air miles card #hotterandlongerthanhell"
negative,@USAirways hello! I never received a confirmation code for my flights (though they are confirmed--so says the automated reply). Any ideas?
negative,@USAirways 5 hours on the phone waiting for a call back to find my luggage #shameonyou
negative,@USAirways ... What's going on at @PHLAirport ?!  I've been sitting at the gate for 45minutes.
negative,@USAirways 799 from AMS to PHL today- 3 of 4 flight attendants were downright rude and hostile and made the 8+ hour flight even worse.
negative,@USAirways why the hell will you not put us in a hotel when you've stranded us. Your message says mechanical issues not weather. #usairways
neutral,@USAirways my wife left her phone on flight AWE474 on Friday February 20th upon landing in Minneapolis. How can we get it back? Thanks!
negative,@USAirways what's the deal with the flight computer network?
negative,@USAirways does anyone actually work at the dividend miles department? http://t.co/BgtJFmnEOT
negative,@USAirways No flights out of Philly because of system wide tech issue.   @CBSPhilly
negative,@USAirways Huge system problems at DCA.Manual check in; flight boarded but sitting at gate due to system issues. Frustrated Chairman member
negative,"@USAirways epic fail @ CLT ystrdy w/Cancelled Flightled flights. No staff, no communication &amp; no refund for unused portion of tix. Keep it classy guys"
negative,@USAirways i have been tryng to rsrv a flight over the phone over the past 4 days and keep getting an automated message to call back?!?!?!
negative,@USAirways @AmericanAir Just got off Int. Flight #799. Your Intentionally rude staff made for a horrible 8hr+ flight on an unsuitable plane.
negative,@USAirways on plane from BOS to CLT for 60 mins. Still at gate. Crew says system-wide computers preventing paperwork. Any info you can give?
negative,@USAirways will you hold #475 today for connecting passengers coming from delayed flights?
positive,@USAirways provided the best service for me today! Thank you so much :)
negative,@USAirways Can you guys please give an update?  Been sitting on Tarmac on flight 601 yet the website still says it's on time?
negative,@USAirways - flight was Cancelled Flightled to Buf today. Waited in line for 2+ hrs &amp; cus service was rude. No flight until Tues. Need to get to ROC.
negative,@USAirways Seriously? I should keep trying after seven hours. That is your corporate policy? #usairwaysfail
negative,"@USAirways his name is Rett Cavan, he has a gofundme page, and is going to take his last breath tonight. This airline only cares about money"
negative,@USAirways that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...
negative,@USAirways he is 8 months old and is suffering from a rare form of cancer. Your customer service agents had no compassion and I am disgusted
negative,"@USAirways Best part was hearing the attendant give a voucher to person next to me for hotel at BGR. Then my guy saying ""we don't do that"""
negative,@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.
negative,@USAirways is really good at deferring responsibility.
negative,@USAirways thank you so much for asking us to pay $700 to switch to a different flight so I could spend more time with my dying nephew.
negative,"@USAirways @AmericanAir @GMA could not have had a worse airline experience. Rude, unhelpful, got yelled at😳. @JetBlue need your help"
negative,"@USAirways please help! No bags, no way to get through to customer service since 8AM this morning! Help!!"
negative,@USAirways I do but the real ? Is why your staff can behave offensively. Flight 699. Please look into it. Message me if you want particulars
neutral,@USAirways glad people can put their coats in the storage area though. It would be super unfortunate to leave those on the floor
negative,@usairways @AmericanAir LAX connect from term 6 to term 4.  55min layover due to delay. US755-AA2595. Is this realistic? Can 2595 be held?
neutral,@USAirways But good luck getting there! Not cool.
negative,@USAirways I left an item on plane BOS-PHL on Friday.  I've called PHL US Airways # &amp; left 6 msgs. No return call what to do at this point.
negative,@USAirways What a great way to kick someone when they are down. Cancelled Flight a noon flight and rebook me on one two hours south from here tomorrow
negative,@USAirways thanks for making me check my bag when the space was empty and to the flight attendant for the dirty look http://t.co/9rx5HOmM25
negative,@USAirways so apparently all of your computers crashed at BWI?  Any update on when flights will be moving?
negative,@USAirways made it to the Bahamas for work but my luggage didn't. I know #travel happens but is there anyway I can get more help/info?
negative,"@USAirways 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority"""
neutral,"@USAirways I saw online you had fee but I was wondering if there was a way to pay for it ahead of time, instead of at the kiosk"
negative,"@USAirways Cancelled Flights my flight to NY 3 times, then once I make it here they decided for S&amp;Gs they'll Cancelled Flight my return flight too. Thanks."
neutral,@USAirways Y'all need to get it together
negative,@USAirways On hold for &gt;70 mins on my 3rd attempt just to get a receipt showing change fees for an upcoming flight. Please help!
negative,@USAirways Everyone on Flight 669 from LAX to RDU enjoyed waiting an hour &amp; a half in baggage claim for their bags just now
neutral,@USAirways No I need the corporate office number please as that is who is dealing with this for me. It's a 480 number.
negative,@USAirways CSTSVC in PHL honors UR system over my reality. No RCD of change in HPN. Now extra hours in PHL or $75 to get to CLE.
negative,@USAirways #usairways Raleigh NC; baggage carousel staff were aggressive towards people waiting 1 1/2 hrs for bags. Flight 699
neutral,"@USAirways if my flight, 4035, is delayed, what time do I have to arrive at BHM?"
negative,@USAirways on hold for 2+ hours.. Can I book using a Take Flight voucher online??
negative,@USAirways when do we get our baggages? @usaireays 699 LA to RDU http://t.co/vU5lBZXtRX
negative,@USAirways has the WORST customer service and their flights are always delayed
negative,@USAirways if you are going to make me wait in the phone for a long time can you at least turn off the ads they are eating away at my soul
positive,"@USAirways despite mechanical issues and many delays followed by a Cancelled Flightlation, still getting to Vegas thanks to great gate agents!"
negative,@USAirways US Airlines 699 LA to RDU is holding onto baggages for an hour already and everyone is still waiting!?
negative,@USAirways we've now learned to never fly with u again. You've lost 16 customers from our group + the hundreds more from our company
negative,@USAirways spoke with your reps in NH and PA. Very poor communications. Bags still sitting in Philly. TRAIN YOUR STAFF
negative,@USAirways thanks for the worst customer service on the face of the earth. I loved the 5+ hrs on hold along w 2 Cancelled Flightled flights
negative,@USAirways I tried reaching out to you guys I'm running out time and patience I just want my flight to be honor and I want a confirmation!
neutral,@USAirways Do you have Bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week.
negative,@USAirways and after six hours even the gate agent got fed up and left us all on line in front of an empty desk. Stay classy US Air.
negative,@USAirways how do you lose a pilot????
negative,@USAirways the ads on your phone systems when waiting for a rep is the most annoying thing ever especially when waiting for over 10 mins...
negative,@USAirways @AmericanAir we are missing our connection due to delay out of LAS. What are we supposed to do now?
negative,@USAirways #695 might have been Cancelled Flighted? mechanical issue. 6 hours Late Flightr 100 people still waiting and Zero information. Please send help.
negative,"@USAirways 6 hours, no agent. Should I keep waiting?"
negative,@USAirways how hard is it to unload bags in order of arrival? 45 mins and counting for flight 699
negative,"@USAirways is it policy to tell customers ""We can't help you?"" I'm sorry but this is unacceptable"
negative,@USAirways thank you for correctly interpreting my last tweet as non sarcastic and delaying my flight again. YYZ Terminal 3 dance party?
negative,"@USAirways ""We can't help you. We don't put people up in hotels when you miss a flight it's against policy."""
negative,"@USAirways my friends at KPHL were told by your rep ""if it were me I woulda just gone home this am and tried again tomorrow."" 1/2"
positive,@USAirways Ann Marie at LGA is the best ticket agent ever! #excellentcustomerservice
negative,@USAirways wasted a day of my vacation after problems with not one but two planes... #waitinginphilly #flight838
negative,@USAirways it's unacceptable the way your agents at the gate treat paying customers!!!
neutral,@USAirways  Mad love http://t.co/4ojrSDWPkK NYC-
negative,@USAirways more like USDELAY-ways. Another long 'paperwork' reLate Flightd delay - Friday in Charlotte. Today in Philly. #letsgoalready
negative,@USAirways your customer service at CLT is terrible!!! My flight was delayed from JFK for 2 hours!  Get to CLT to horrid customer service!
negative,"@USAirways flight 2022 out of Phil, no update and was supposed to leave 15 minutes ago.  Sitting in airport, wondering#irritated"
negative,"@USAirways  Flight 4454 aircraft at gate, but no crew?  Will be 2+ hours Late Flight to destination. Come on!"
negative,@USAirways Please can someone contact me regarding my missing bag? It has been 3 days. Online tracking shows nothing.
negative,@USAirways 3818 delayed. blue skies all over. #whyisusairALWAYSDELAYED???
negative,@USAirways Ill never fly you again due to the emotional &amp; financial stress you have caused me because of one of your staff members errors.
negative,@USAirways where are my bags?
negative,"@USAirways thanks to you, you have now incurred us approximately 2000 dollars in fees due to a staff members screw up.  #neveragain"
neutral,"@USAirways when AA gate supervisor 600117 was asked for his superiors name, response received was ""the CEO of #AmericanAirlines"" #merger"
negative,@usairways @BarclaycardUS 1 hr wait so far for customer service. yes bad weather but do air traffic controllers answer your phones?!??
neutral,@USAirways AA Gate Supervisor emplid 600117 allowed flight AA67 to leave JFK to SJ on 20feb15 w/o 8 customers that made final boarding call.
negative,@USAirways thanks for being so bad you make a two day train trip look appealing!!
negative,@USAirways you have got to be kidding me!  No info on 4565 from DCA to BGR and your phone line tells me to call back Late Flightr?
negative,@USAirways Its pretty ridiculous that at PHX sky harbor you have 4 (!) employees working check in on a SUNDAY afternoon. 30 min &amp; counting..
negative,@USAirways Really hoping I don't get charged for this flight because they couldn't handle the influx of calls. Bummer.
negative,@usairways I have been on hold for over 3 hours.  Please help! http://t.co/tyXAZtMQ1U
negative,"@USAirways I promise, if I can help it I will nvr fly w/u again. Even if I have 2 pay more $$$ 2 fly w/ sum1 else #badcustomerservice"
negative,@USAirways yesterday we were delayed for SIX hours w/lil to NO explanation we paid LOTS of $$ 2 fly w/u &amp; this is how u treat ur customers?
negative,@USAirways I have nothing but issues when I fly w/u what's up w/that?! #travel #vacation #awful
neutral,@USAirways you should update your passbook passes with any gate changes.
negative,@USAirways customer service fail... Todays experience will ensure I do my best NEVER to utilize you again...
negative,@USAirways -- I've been on hold 40 mins to Cancelled Flight my reservation for this afternoon. Is there another way? Web tells me to call.
negative,"@USAirways suggest you failures make a HUGE donation to @the_USO  Charlotte, NC as THEY provided GREAT customer service today, unlike you."
negative,@USAirways this is how concerned your gate attendants at C26 are this afternoon. #nocommunication #nocrew http://t.co/hFjYN2vtVj
negative,@USAirways 2nd plane forced to get off due to mech and wait for 3rd need housing and meals in STT need help b4 we arrive at STT please
negative,@USAirways I need an actual person in customer relations for a refund. What # can I call? I will dispute this charge on my credit card.
negative,"@USAirways this is my 2nd attempt to call US airways dividend miles, 52 minutes no help hung up - #usairways #BS http://t.co/GiEnNyqN22"
negative,"@USAirways @ClaudOakeshott don't need this link, after getting a person u now say u don't know where bags are. Lost on a nonstop phx to jfk."
negative,@USAirways is absolute crap this week!!
neutral,"@USAirways got transf. to Dividend Miles...need to change flight.  Grandma just passed, need to change ticket ASAP. Update on wait time?"
negative,".@USAirways trying to get a partner PNR, and have spent more than 1 hour on hold.  I know its snowing somewhere, but this is awful"
negative,@USAirways on the phone over an hour waiting for customer service  got wrong fight information cost us 6 hours from trip. Frustrating!!!
negative,@USAirways @united each says the other has my luggage. On hold almost 3.5 hrs with @USAirways. @united hung up 3x. http://t.co/dr5oCtp1DY
negative,@USAirways Just Cancelled Flight every flight I have why don't you.
negative,"@usairways Is your reservation phone number working? Called 10x in the last 3 days, and haven’t gotten through."
negative,"@USAirways @AmericanAir as a Gold Dividends member, why can't I get anyone on phone to handle my Cancelled Flighted American flight tonight 😡"
negative,@USAirways really nigga.. Ur a fuck boy
negative,"@USAirways I sympathize re:weather issues, but when times get tough, call in more folks. Over two hours on hold for 4-minute fix. #FAIL"
neutral,@USAirways just told by supervisor that they won't guarantee the empty seats to standby passengers with flights Cancelled Flightled so can sell them
negative,@USAirways i will be on this plane while on the ground longer than i will be in the air. US5235
negative,"@USAirways has failed me all day long, should I blame it on @AmericanAir ?"
neutral,@USAirways What's the contact number for the corporate baggage office in Phoenix?
negative,@USAirways 1 hour and counting on hold :( why? http://t.co/clOB5qwMXR
negative,@USAirways  you Cancelled Flighted &amp; rescheduled my flight &amp; still getting updates &amp; can't find my current flight on my account http://t.co/8Je1h3666w
negative,@USAirways now after an hour on the plane and knowing of a maint issue ahead of time they just announced another 30 mins. Y r we on plane?
negative,@USAirways according to @wtop DCA seems to be recovering nicely from yesterday's snow so why are you Cancelled Flightling flights out there?
negative,"@USAirways Cancelled Flightled flight this AM. There was avail flight to PHL today u said was sold out. I had to buy 2nd ticket, u need to refund me."
negative,@USAirways @AmericanAir seriously with all the service issues you are having right now this is what you decide to tweet?? Unbelievable
negative,@USAirways Flight 4210 been sitting @Bradley_Airport gate 27 for 10 min w door open since we arrived. Still no jet bridge. Can someone help?
positive,@USAirways new F/As from DFW to CLT this morning did a great job. Well Done!
negative,@USAirways why have me board a plane knowing there is a maint issue?  US5235.
neutral,@USAirways with this livery back in the day. http://t.co/EEqWVAMmiy
negative,@USAirways waiting all day at ATL since flight this am Cancelled Flightled. 1 standby told no seats and group of 15 shows up Late Flight and gets on to PHL
negative,@USAirways the link doesn't work..
negative,@USAirways spent 1.5 hours in line trying to get on a flight home tonight only for it to be Cancelled Flightled an hour Late Flightr. Not even snowing at DCA
negative,@USAirways flight 838 now leaving after 6 hour mechanical delay. Need lodging voucher and meals tonight in st Thomas who do I see?
negative,@USAirways care to elaborate on why CHA to DCA is Cancelled Flightled this evening?
negative,@USAirways help im falling out of one of your planes
negative,"@USAirways this has been my WORST flying experience with you guys, you need to do better"
