labels,features
negative, it ok forgive you guys 
negative, now it delayed until getting yelled at by attendants not to bother them getting worse
negative, southwest is scheduled to fly to costa rica on march but can book it online when will this be available 
positive, yes did and the bags came straight to my hotel thank you you guys rock 
neutral, southwest is currently awaiting government approval for this route do we know when it will be official 
neutral, is offering companionpasses to atlanta residing frequent fliers ed ze
positive, thank you 
positive, oh my gosh
negative, service rep didn say was dumb just had the tone of voice like should have known about it 
negative, it would be nice if could talk to an agent rather than get caught up a promotion amp then be hung up on
negative, just wanted southwest to know that don think they re as great as used to anymore nothing to look into 
positive, lauren im screaming
positive, lauren omg im dead im so so happy for you yes yes
positive, you re the best
negative, customer relations line had busy signal too called the normal line and the service rep thought was dumb for not knowing 
neutral, ve never met my favorite band and it would be sooo amazing to win destination dragons 
positive, lauren omg best airline ever
negative, didn see travel had to be compete for unused funds by expiration date hidden in the fine print never saw that before 
neutral, ahhhh yes lauren
positive, holy fuckinf shit
positive, oh my god lauren oh my god oh my god
neutral, my birthday is february th which is the date of the imagine dragons in flight concert btw
neutral, lauren holy sht
positive, thank you thank you thank you
negative, after long wait of over an hour my mother bag did not make it we filed report and are waiting thanks for your help
neutral, goes to court to gain access to gates at love field deltanews
neutral, lauren im screakjmf
negative, when will sw return to customer service business travelers made sw now sw ignores us 
neutral, are you guys gonna be giving away any tickets for at destinationdragons
neutral, swa is willing to follow up finally 
neutral, is hiring for their emerging leader development program last day to apply is today apply here ukb
neutral, when does pv get approved am ready to go 
neutral, atl to rdu snow forecasted for raleigh this evening 
negative, your app repeatedly crashed and failed to display my name when checking in was unable to use app kn pjelzl
neutral, sorry thought did it done now 
negative, no have not 
negative, yea but was hoping to avoid the ticket difference amount as birthday courtesy flysouthwest lovesouthwest mybday
negative, can amp use your luggage scale to measure our weight loss one scale for each foot home is not accurate anymore 
positive, oh my gosh seriously you just made my day week year no one will appreciate this more than me 
negative, boarded plane only to be told to get off as it wasn our plane now an hour delay 
neutral, when are you opening the flights beyond august th 
positive, pleasantly surprised to be boarding my flight on time this morning at good job 
neutral, ahhhh sorry just followed 
negative, two hours on the plane at the gate this is undignified behavior for you and the apology isn enough freedrinkcoupons
negative, she cut people off minutes before flight time to check in bags for flight that was delayed hours waited more hrs 
negative, want to file formal complaint against disgruntled employee laguardia who ruined mltple people travel plans yesterday
positive, awesome sending now 
neutral, left something on plane landing at midway last night because am responsible adult got number for me to call ty 
negative, hi just got my tsa pre check amp put it in my acct but it not on my boarding pass for flight this m can it be updated 
negative, why do your mdw gates have so many fewer seats than your planes 
negative, really hours on the plane and at the gate jax bna like we haven waited days to get home notokay
positive, thank you 
negative, there is no option just to cancelled flight don want to change flight want to cancelled flight 
positive, thank you for your time 
negative, lastly for company that trying to put the love in flying it would be nice to have someone personally address my concerns 
neutral, in my letters to follow will be sure to include my rewards number twitter handle and email address 
negative, flight to balt hit turbulence babies cried kids vomited chaos flight attendant caroline was superhero 
negative, by the way the flight number was please feel free to fact check my complaints about leave time amp baggage time 
neutral, finally got me home bnasnow
negative, therefore since ve received no recourse through phone have submitted an email complaint amp letter via mail will follow 
negative, consider myself loyal customer to the brand but m astounded at the lack of concern about customer flying experiences 
negative, this experience was the worse flying experience ve ever had to be met contempt from your customer service makes it worse
neutral, looking for cheap flight to vegas
negative, please let those with nothing in overhead bins to exit first fly lot and only bring purse tired of running for connection
negative, all requested was refund of my reward points that used to purchase the flight and he refused 
negative, so today call into customer service amp speak with wendell holton in the dallas office amp am told there is nothing he can do
negative, we did not get single answer from any southwest personnel after an hour wait no apologies no explanation 
negative, along with other passengers repeatedly asked southwest personnel what was taking so long where was our luggage 
neutral, took delivery of a new boeing yesterday styuqj dfw dal airlines
negative, next once we arrived to atlanta we waited full hour before our luggage was placed on carousel one hour 
negative, secondly we did not begin boarding on time despite our aircraft being present and deplaned thus we left over min late flight
negative, bags fly free so what with all the carry on packingayak 
negative, first there were cockroaches crawling on the counter at the gate and visible mouse traps under the seats at the gate
negative, am completely displeased with the service received on yesterday flying from lga to atl 
positive, landed in nashville thanks for taking care of us 
negative, when will you be accepting reservations past august 
neutral, thanks just sent dm with this info 
positive, thanks for the info have good day 
negative, fs ve when corrected the attendants error she gave me attitude made rude show of taking back nuts amp said well was late flight 
positive, hey at least you guys are honest with your customers unlike 
neutral, first time flyer scheduled round trip set on departure date not sure on returning date policy fees on changing re flight
negative, just sent screen shot of the incident report 
negative, couldn fly you today amp it made the trip harder had to pay for my checked bag devotedyyours but for today 
positive, oh no worries nl no disappointments here better to have no lounges than like delta who has them but does disappoint 
negative, flight mco to isp delayed any details on why 
neutral, when will you have flights for october available 
neutral, ceo discusses possibilities of nhl vegas arena naming rights sh xng sportsbiz
positive, thanks for getting me back to nashville big thanks to the pilots on the out of baltimore flying in snow landing on ice 
positive, just did last night thanks for following up 
positive, for the win as always saved my day and got me on direct to orlando 
neutral, not possible to carry on and put in closet overhead had success doing that with other airlines thanks
neutral, hi how do add flight to my account just created it
positive, de icing is important 
positive, thank you for finally making your boarding passes work with passbook
neutral, any delays today to orlando 
neutral, so was there winner for destinationdragons 
neutral, thanks for reminding me about my upcoming trip to florida but you really didn need to rt ow 
neutral, today is going to be the day can feel it thank all for your support throughout we re coming home nashville octavia
positive, love and appreciate the fact that you guys rarely cancelled flight flights and are on time but need cancelled flightlation this time 
negative, flight at from fll kiosk just opened rude attendants because now everyone is late flight boh mh cb
negative, why is your website downnnnn ugh
neutral, hopefully nashville is open want to come home today
neutral, hi get solar charger from amazon game changer to plug usb into charge 
negative, will you please tell me if ll make my flight out of here tomorrow am ve been tryin for days now to leave
negative, had bad experience with them last week they broke my bicycle that had brought with me to do bike ride in fla why 
negative, m so sorry for your frustration did you get rebooked sw ve been rebooked times still stuck smh
negative, minutes and still waiting for skis to be unloaded you should be ashamed it in the morning 
positive, neveind it been found and on its way thanks for making the process so painless
neutral, what are your services what promotion you have at the moment modelodenegocio innovation innovacion businessmodel
neutral, my bag was late flight checked and put on different flight from oak gt msy having troubles tracking it down any help 
positive, thank you both very much 
positive, you are the official airlines of divadapouch aka thepoopqueen imnp
neutral, m trying to get home to nashville ve been stuck in dallas days will my flight get out in the morning
positive, once again was able to change my flight without any fees oh and the two free checked bags best airline ever 
positive, wonderfully nice agent in austin helped us out wish remembered her name to give proper kudos 
positive, hot stewardess flipped me off
negative, where are our bags we have tv show to film 
negative, am scheduled for the morning days after the fact yes not sure why my evening flight was the only one cancelled flightled
negative, update minutes into this pilot has turned off c no longer freezing but we are enjoying waiting for reload of all bags
neutral, snow forecasted for raleigh nc tomorrow night need to know if there a plan to reschedule flights into rdu wednesday night
neutral, need some help with reservation
negative, it seems odd to be sitting on plane that gets further delayed and you find out by txt not the emp working on the aircraft
negative, really enjoying sitting at bwi with the door wide open and the c on as they fix baggage error sarcasm
positive, flight phi to den was staffed by great crew freecomedyshow newlifetimecustomer
negative, engadget theverge wired reddit
negative, your male flight attendants must being playing game called who can be the bigger dick to people flight to chi mid
negative, when you re on hold with southwest for over hours and it automatically hangs up on you iusedtoloveu 
positive, has the best customer service 
positive, big thanks to your team family emerg same day ticket experience was excellent st time flying with yall not my last 
negative, this was the rd cancelled flightlation in days due to weather in nashville trips to the airport each time communicated late flight by sw
negative, left my ipad on my flight from erw to den opened claim it has so many memories on it plz help get it back 
negative, yes dale at baggage office was wonderful but not everyone is on the same page down there we had hour wait 
negative, no one wants to commit to saying if this plane is getting cancelled flighted or not customer relations is closed patience gone 
negative, tried to leave monday all other planes left but mine now this one keeps getting delayed missed work have to pay for cab
positive, total win happy th bday on intercom chocolate flight kisses and chance to hand out snacks thank you 
negative, my luggage has still not been found luggage is not scanned until final destination so no way of knowing where it is 
positive, thanks for your excellent response time and assistance all set 
negative, finally got through after hours and all set thanks 
negative, did it just been such disheartening experience for me and my family and lot of taxi money wasted 
positive, can wait thanks for the response 
positive, got it covered thanks 
negative, please help on hold forever to check in for flight
negative, my sister and her family had to drive miles because you did not accommodate rebook in timely manner horrible
negative, can believe how many paying customers you left high and dry with no reason for flight cancelled flightlations monday out of bdl wow 
positive, thank you for your help resolving my problem shannon rocks even though rhonda didn 
positive, thanks we will see what happens 
negative, appreciate that and not to be rude but it doesn solve much you should at least cover the cost of stolen goods 
neutral, can better define the plus one smaller type item on carry on requirements small backpacks 
negative, you re on blowing it with your customer service shotwest airlines 
positive, glad it was finally resolved too too bad can get free voucher to go with mine so can have friend travel next time 
negative, she made it standby after her flight was cancelled flighted for no reason almost hrs late flight conf fvf yw swrr 
neutral, m flight booking problems flight to vegas any good promo codes 
negative, very frustrated with your customer service open seats on earlier flight to change what rip off 
positive, all good now going to make it to boston on time m actually on your wifi right now
negative, you are over please start acting your age and stop with the short shorts 
positive, thanks for your assistance you guys rock 
negative, no self help way to put in tsa pre check number for existing reservation very annoying is not reachable 
negative, why won you let me leave newark 
positive, hey yea got thru everything is good now well in days when the voucher goes through appreciate it 
negative, was in nashville and had to drive and half hours to memphis but made it as the plane was loading 
negative, according to tv passenger interviews the landing was far from uneventful with heavy panic breaking to
neutral, can you outline the policies for both scenarios 
neutral, who should contact about missing rapid rewards credit 
negative, what are the chances you will be cancelled flighting all flights in and out of nashville again 
neutral, welcome to portland sun mt hood and southwest sahvx zk
negative, why are you the only airlines to cancelled flight all flights into bna been stranded in philly for days hoping to get out in the am
negative, not very helpful trying to get out of nashville should waive change fee for 
neutral, still haven been able to get through thanks for responding
negative, thanks but they told him he couldn a few hours ago then my plane left after tried to do it stuck waiting for hours now
neutral, has the winner for destinationdragons been announced yet if not when will they be 
positive, on my flight today from rsw to grr was able to snag free sw agent to check for me it looks like we are finally all set 
positive, yeah we figured it out thanks 
positive, thanks for the drink tickets hook up can wait for my first international flight with you to nas pumped
negative, took our carryon bag with essential attire for life changing interview tomorrow amp it not here can we expect compensation 
neutral, got rebooked for tomorrow
positive, hi just saw black history month commercial on tv amp im excited in support of this month will you all grant me free trip
negative, took our bos to bwi plane for flight to stl and promised replacement hours late flightr now hours delayed not happy 
positive, though work for another major airline love your black history month commercial thank you 
negative, no we were in large group majority of the bags were soaked 
positive, black history commercial is really sweet well done 
negative, even with the voucher for picking up my bag
negative, there from my first interaction with your people this morning after bad weather sorry but wont be flying with you again
negative, yeah they told me it would be on the next flight drove down and it wasnt just drove down for second time and they were
positive, much respect 
negative, it not letting me dm you 
neutral, when are we gonna know have math test tomoro and can concentrate destinationdragons
positive, thank you thankful feelingtheluv
negative, im just praying you get me home alive
negative, hope you re happy you have officially become the next profitbeforepeople imo you will be bankrupt by 
negative, what up with these delays throw some priority boarding my way amp ll forgive you southwest southwestairlines
positive, got it added thank you 
positive, great thank you best of luck dealing with this horrible winter 
positive, thank you 
negative, needed my flight info so can add my rapid rewards to my flight first time have flown with sw won do it again mad
negative, keep getting disconnected after choosing the option unused travel funds on your automated customer service line sos
neutral, flight sw departs enroute to indianapolis international airport d
negative, being old will miss my connection and can sleep at oak or get hotel on my own dime rubs me the wrong way wasn late flight 
negative, not your finest moment in boston right now 
negative, my bags are st woman said it would be there on the next flight not there so now ive got nothing big wigs help me out
neutral, can use points to book rental car 
negative, no thanks think we have it straight 
positive, thanks for taking care of me today michele rocked the customer service gate hou
negative, paid for my own rental car just to not go through this for the rd day 
positive, did thank you 
negative, thanks expected wait just not that long 
negative, understand weather is an issue but on time cancelled flighted reinstated cancelled flighted with hardly any updates and doing nothing for me 
positive,despite mother nature best efforts good humored folks got us home safely in an area heavily affected by winter storms 
negative, sadly didn get much help as travel agent this is so disappointing to me 
negative, bos to msp msp to aus aus to bos site doesn seem to display fields for the middle trip when add the rd 
negative, me not to be able to rebook another flight drove to atl to catch flight was charged just to get the group had
negative, has the worst customer service on earth will never fly that airline again 
negative, flight yesterday cancelled flighted got to airport am today for an on time flight was delayed cancelled flighted than reinstated which caused
negative, flight d departs enroute to snvkiem
neutral, how are flights looking for tomorrow morning from nashville bna to fort lauderdale fll 
positive, awesome thanks 
negative, im in same boat am flight to jacksonville get me out of here 
negative, m concerned that you will cancelled flight my flight out of bna tomorrow am should be 
neutral, think flight from bna to lax will get off the ground tomorrow please snowbama
positive, really appreciate the follow up always fly with all for reason 
positive, all pieces were found and safely delivered to our home this afternoon 
negative, stop ur bs promos of anywhere starting at click and everywhere d fly the only place thats is cle nothanks
neutral, have been in contact and know there are changes but it a destination you should really evaluate thanks
negative, know one thing would never treat their customers like this 
negative, why are yall trying to fly me to chicago when don live there send me home now bullshit ass customer service
negative, flights cancelled flightled in one week customer service is 
negative, have had flights cancelled flightled through yall im sick of it 
negative, very poor customer service thru out each of my cxl flights should ve flew 
negative, what yall corporate number bc yall are not trying to accommodate me at all 
positive, el paso deals may 
negative, can checkin online for flight tmrw fr cancun undefined error amp not working family of don want cgroup help
negative, does anyone ever answer your phone poor
negative, we are mins from departure of and no announced update nor an update to on time status everyone just standing comeon
negative, can get any kind of update on the delayed flight from boston to houston at really need to be back home tonight 
negative, how long did you have to hold we waited minutes and gave up
neutral, know it is hard to predict but how are flights from dallas to nashville tomorrow am 
negative, any plans to make the southwest app for android not crappy 
positive, thanks ll keep checking m trying to book our first disney world vacation 
negative, thanks for taking such good care of my luggage jy
negative, yeah all are rebooked for tomorrow am hoping the rd time is charm for no cancelled flightled flights 
positive, thank you know ya ll can control the weather appreciate ya ll working to get my flight rebooked the last two days 
neutral, iiiii need help with my flight schedule haha
negative, can you make premium wifi that can pay for that is decent slow fi
positive, about time and just in time for my next flight thursday 
negative, extremely disappointed with poor the customer service provided after cancelled flighting my flight today unprofessional
negative, was helped by nice lady at phx checkin spent hours on hold in hours so might want to look at efficiency there 
negative, told myself last time would never fly you again really messed up today thanks flight worst airline ever
negative, done messed up now have planned trip to costarica for pennies vacatime 
negative, not as sorry as was when sat on plane for hours waiting for the engine to be fixed and then got my luggage lost but k
neutral, on flight tomorrow wed den bna will we be delayed or cancelled flightled 
negative, did but it only shows one flight one way when try to go to the home page and book roundtrip there nothing available 
neutral, we re flying out tomorrow please dont cancelled flight lol 
positive, no worries at all would rather be safe on the ground than take any chances yes tomorrow am if bna reopens 
negative, do need help cancelled flighting my flight back your calls times are ridiculous 
positive, fattuesday great job celebrating mardigras today at atlanta airport another reason m nuts for you wbzorrn c
negative, your customer service is terrible you re terrible thought you should know 
neutral, when will the winners of destinationdragons be announced 
positive, awwweesssooomee 
negative, my pts expired made prchase an online retailer to told by sw that those won show for wks so too keepmy pts
neutral, you guys must have been swamped even took our corporate travel long time to get in but everything worked out in the end 
neutral, tremendous job atlanta airport saw sw celebrate mardi gras another reason m nuts for you guys wbzorrn c
negative, you officially have the worst customer service of any airline ve ever dealt with southwestairlines poor
neutral, think you need to follow me for dm
negative, fastest response all day hour on the phone never got off hold hour in line never got to the flight booking problems desk 
negative, had to rebook through atlanta amp now drive to nashville had to pay ridiculous price difference bad weather good for business
neutral, when do you all expect to open the reservation through november 
positive, amazing customer service as well will definitely fly with you guys again if my instrument is involved 
neutral, when are you going to be flying in and out of nashville the deicer is in are you short on planes and is it tomorrow morning 
positive, your social media team just said sorry thankfully submitting complaint got resolution from an amazing rep who called 
neutral, m scheduled to come back tomorrow finally but don know swa hasn flown out of yet but has
negative, flight cancelled flightled my wife is stuck in phoenix on the way from slc to san thanks lot southwest 
negative, never got cancelled flightlation text from this morning either bushleague or number to call weakservice
positive, knows whats up that blackhistorymonth commercial just another thing to add to reasons why fly with southwestairlines
negative, too late flight now
neutral, can get me on flt instead of rt now
negative, no but seriously wtf nochill xd r
negative, yes but they couldn explain the hour and minute hold time 
negative, mco gt dca flight almost full of people screwed by the msy dca cancelled flightation and didn cancelled flight swa mistake 
neutral, can take my electric skateboard on domestic flight if so do same policies listed on your site for regular boards apply 
neutral, what is dm 
positive, your employees were great 
neutral, confirmation number for new reservation is fp y am traveling with year old please email jennifer cascino com
negative, why no charging station in san 
positive, thanks for the reply something is off with the phones becuz after dropped calls at hours on hold got through on ring
positive, thank you for the vouchers after the long wait on the runway saturday night at bwi really appreciate it swfan
neutral, you need this song for your next commercial rhz rqc swa love
positive, jh thank you finally got through the second time 
negative, need to fly from gsp to dsm but claims there no sched avail can book separately but why not together 
negative, thank you hung up after hr min on hold would you like me to dm you contact info 
negative, your checkin system is poor
positive, haha thanks for the explanation
neutral, employees spreading bit of mardigras cheer at this morning in atlanta nftyconvention ilo
negative, having some trouble checking in can you please add me so can dm you
negative, wifi on yesterday flight extremely slow waste of and lost the travel time for work 
negative, my flight was cancelled flightled monday just looking to cancelled flight and credit my card that all 
negative, still on the ground gt mins after planned departure and this is california no weather here originally told min delay 
neutral, understand wonderful miriam in customer service who was able to reroute me got any rental car discounts 
negative, not yet supposed to get it early evening tonight don want to have to go to the store and buy new necessities 
negative, how it is not possible to call swa on the phone you put me on hold for an hour and then cut me off 
positive, been with my gf for yrs she from sf amp live in tulsa swa always takes me there to see my love southwestluvsweeps
neutral, hi there just got my known traveler and would like to add it to flight that already purchased what my best option 
negative, nashville airport has runways open it appears southwest is only airline cancelled flighting flights is this likely to change 
negative, been on the phone for about an hour waiting can you please answer thank you notcool
neutral, just get the rr credit card and get the points of family that way
positive, sent thanks vp 
neutral, what does tsa pre on my boarding pass mean hmmqczkcf
negative, she still stranded in dc sat until am with other kids they were starving and exhausted 
negative, flight pilot spilled his tea on the radio yay for delays almost an hour now 
negative, just sent it over
neutral, haha yeah did just making joke
positive, thank you so much for stepping up your game and making my day after night of elevator music much appreciated 
negative, used to love you but you keep rescheduling my flights southworst
negative, where do we start ve already wasted hrs of phone wait time already 
positive, just talking to customer service makes me appreciate you even more they could learn so much from you 
negative, my brother amp his girlfriend flight cancelled flightled times now leaving hours late flight and dropping letter grades at school help 
neutral, thank you the email about rr pts amp how to gain more wasn clear so all of mine gone anything can do is appreciated 
positive, thanks for the response was able to get my situation resolved not fan of mother nature today 
neutral, is there any way to add known traveler number to an existing reservation online if not why not 
neutral, needs to offer college student discount so can fly home 
negative, you cancelled flightled my flight to bna have flight from bna mdw tomorrow am you stranded me in den ve been on hold all day
positive, thanks think we ve got it figured out
neutral, from lga to san diego
negative, missing out on over points in one account they re now spread over four assuming create accounts for them
negative, right but the point was that my kids don fly often but do bought four round trip tickets from dtw to phx so m 
positive, got flight at am on thursday but looking for something tomorrow anything available 
neutral, we desparately need yall to make nonstop bna gt tul cmon it ll be popular right 
neutral, thank you for the response how can got about getting the points onto my rewards account 
neutral, tried to dm you it won let me as it says you are not following me 
neutral, chances of flight leaving bna tomorrow at am to lga 
positive, got it squared away thank you had man on the inside help me out 
negative, please pm me the number where can lodge formal complaints thx
neutral, just sent you dm with the details 
negative, good thing we noticed because she had re routed total passengers on an impossible triple connection as well
negative, your gate agent re routed an impossible itinerary and we had to find new airline to get us home super bummed about this
negative, do you do auto callbacks so don have to wait on hold 
negative, received email reso to my email that isn associated to swa account own with cc info for my sister fraud please dm me
neutral, just did thank you
negative, your onboard wifi is so bad it taking me minutes to send this tweet working is off the table disappointed
positive, another great flight amp crew las vegas chicago thanks 
negative, recommend upgrading your ivr and using call back email and texting from know caller 
negative, an entire flight of luggage missing at dca over an hour and nobody knows anything 
negative, you get to hold called twice only to be kicked off calls phonedied alistpreferred tzz vbmbs
negative, why are you the only airline that is not flying out of bna today 
positive, finally got through thanks 
negative, have spent minutes and counting on hold you today after first minutes gave up trying again amp on rd min 
negative, ive had on an airline everyone else has been great but she soured the whole experience for me hope she not there next time
positive, thanks got put on the am flight tomorrow don have much faith it ll get off the ground tomorrow though 
negative, think m shot can find flight that arrives before business san on thu really want to go too 
negative, the woman working the counter in philly at this am needs to be fired due to bad weather along with other passengers
negative, was earlier for reflight booking problems flight m on now didn get screencap just said unspecified error and to call swa
negative, buying early bird was pointless you moved me to diff flight c first one was delayed so lost my boarding position 
negative, is there problem with the website tried making changes the app and the site but got unspecified errors 
positive, love southwest and payton taylor 
neutral, rdu flights expected to be ok this afternoon and tonight 
negative, super disappointed today first time we ve had to stress and now book flight on another airline while at the airport
negative, they put me on the next flight available tomorrow morning any idea if bna will be open in the morning for my flight 
negative, hey swair very tortured boarding on flight due to one gate agent having to board assisted folks one at time 
negative, understand delay but to be stuck on the plane longer than the flight is unacceptable
neutral, absolutely will where can send it 
positive, no worries you re doing the best can already cancelled flighted my biz trip still luv you rr 
negative, in my years of flying have never been so pissed off to many incidents for just one flight 
negative, heard apology times in the gt mins was on hold now flying from another airport at different time but delayed again
neutral, happily but you need to follow me in order for me to dm you
negative, will make sure to tell everyone know about this all around horrible experience will also post it on my business page 
negative, and currently as im bringing my year old to the bathroom m being rushed by the flight attendant 
positive, no worries we got thru eventually was just curious best of luck to you dealing with the weather 
negative, not terribly inspired to call customer service in the future now 
negative, also they said they couldn even book the flight they were having to put me on hold amp have someone else do it 
negative, the person talked to couldn do anything not normally available online other than the no charge part 
negative, can someone help me set up callback today 
negative, how about when there are cancelled flightlations you just have link to rebook like you did for initial storm issues 
negative, there really should not be guidance to call via phone if you are that back logged could have done it online in minutes 
negative, no had to rebook my flight myself and am about to board in bham 
negative, please send me number to call to talk to person and not be put on hold
negative, flt from buf to mco conf fgkxv please also look into reimburse for car count that had to cancelled flight
negative, almost hours on hold now just need to cancelled flight flight and get refund other airlines are operating 
negative, you need to be more accommodating to your loyal customers not happy now 
positive, yes thank you oct oct 
negative, did eventually get through but that flight cancelled flightled decided to drive but gave up holding to process refund
neutral, already rebooked for tomorrow fingers crossed 
neutral, followed 
negative, worst customer service terrible attitudes don care how big storm your employees need an attitude adjustment
neutral, or you could send me dm 
neutral, am following you now don think can dm until you follow me 
negative, flight cancelled flightled out of bna do have to reschedule now or can travel funds be put back into my account for future use 
negative, are you kidding me needed help yesterday m now landed and waiting for my connection never will fly southwest again 
negative, can have my bags back ding 
negative, yeah bruh its bool all niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect 
positive, always when fly sw loyalrrmember
positive, thank you someone finally answered and was able to change my flight that was cancelled flighted bc of ice thank you for response
negative, trying to add my dog on the flight but can get through 
negative, need to request refund on my flight that was cancelled flightled this morning due to the weather 
positive, thanks ton 
positive, luv ya too will sing song for all when finally get on that plane back to nashville lovesouthwestair
neutral, hi thanks do you have an exact link to that specific page on your site you can share or is it under flight status thx 
neutral, no exceptions for national awards 
neutral, any idea on flights to nashville tomorrow being clear or cancelled flightled
positive, is having sale m delighted 
positive, about time thank you 
positive, finally integration passbook is great valentine gift better then chocolate flight you do heart me 
neutral, finally 
positive, you guys are awesome dontchangeathing luv
positive, karen with customer service was very helpful thank you for providing one bright spot in frustrating situation 
negative, twitter says can dm someone unless they follow me can follows my twitter thanks you 
negative, thank you twitter says can dm someone unless they follow me can follows my twitter 
neutral, the is sold out too 
neutral, myself and others
negative, can you follow me flight cancelled flightled can rebook online been on hold for hours would love to dm flight info thank you 
negative, also find it ridiculous that ve been tweeting to you since am est and have still received no response hours 
negative, thanks yes got through biggest frustration is that m no longer able to check in online for my flight after cancelled flights 
negative, why are flights still getting out of logan now you couldn manage to get one out at am when it wasn snowing 
negative, mins wait on the phone with no option for callback finally had to hang up because my phone was dying customerservice
neutral, landing early morning after snowfall 
positive, and thanks 
neutral, sure fhk te am scheduled to leave this weekend but need to push to october
positive, its all good flight eventually took off and landed safely oh and got the free cup wine thx
neutral, noticed the rates increased few days ago or the promotion ended any idea when another promotion will be coming thanks 
negative, no flights out of nashville today are you kidding me why are other airlines flying and you re not so frustrated 
neutral, am but it says yall are sold out me amp my coworkers would need to get out first available
negative, m trying to change family vacation due to measles outbreak and haven been able to get anyone on the phone any help 
neutral, r zz
positive, you ve got mess here at dtw but your staff is doing great 
negative, flying to lga in the dead of winter jvstatus ewr amp jfk is always the intelligent option 
positive, great job with the passbook integration it ll really help streamline the commute to san fran 
negative, need to reschedule flight and ve been on hold for almost an hour this is ridiculous is there best number to call 
negative, condescension must be quality your co rewards your tone reeks of it
positive, great job looking forward to my next trip being able to use this new feature 
neutral, any update on flights in to bna today 
neutral, damn weather messing up everything serenitynow
neutral, could you tell me if any upgrades are available on flight out of stl tomorrow morning 
negative, disappointed with customer service right now my flight was only one cancelled flightled at my airport amp now m losing days from trip
negative, been on hold for over an hour not cool you guys 
negative, ve been on hold for an hour amp half trying to change my flight to bna not very happy with customer service right now 
neutral, got it thanks any insight into what will happen tomorrow 
neutral, any chance of adding lax gt jfk direct any time in the future 
negative, thank you was given this same reply years ago can you direct me to an area can learn more about the improvements 
negative, just disconnected my call after hours without even speaking to me octaviannightmare
negative, injured at check in yesterday told me to go to dr on hold with swa for over hour trying to talk with someone suggestions 
negative, trying to get through by phone to confirm that funds from cancelled flightled reservation can still be used in the future can help 
negative, have you considered adding the we ll call you back when we have someone free feature to your support line 
negative, ve been on hold with customer service for over an hour can you help 
negative, ve been on hold for an hour now as type this ridiculous all need is the link to the chart that has routes time
neutral, sent
negative, flight cancelled flightled reflight booking problems online has not worked on my second round of hold hrs now any other options 
negative, kudos to the rsw cs crew for re routing pax to alleviate over sale due to down graded eqp now 
neutral, trying to fly out of nashville tomorrow how is it looking 
neutral, do you think the flights out of nashville will be cancelled flighted tomorrow 
negative, do you not try to get customers to their destinations no help to get on another airline if you had no flights for days 
negative, m an list preferred customer and very loyal swa however your inflight wifi is no better today than it was years ago 
positive, thank you 
negative, too bad m getting this memo your reservation contains modifications that prevent you from changing it online fusturated
negative, almost hours on hold hours of my life can get back thanks puvs
negative, discount for three delays 
negative, tried online and told must call c of modifications to my reservation been on hold for almost hours 
positive, outstanding customer service thank you 
positive, finally 
neutral, trying to get through to cust relations is there another to use 
neutral, where should fly by may rd plz advise 
negative, has the worst customer service of any airline ve ever flown 
negative, need updates on my flights amp have been on hold for over hours 
negative, hi my flight bna to lga was cancelled flighted this morning looks like other flights out of bna are taking off any chance 
neutral, can you link the article where it says the routes and what times the routes are likely to be like tul dal pm none
neutral, southwest mobile boarding passes now available in ios passbook lgeg su 
negative, cancelled flightled my flight out of bna today been on hold for an hour frustrated 
positive, beautiful thanks ton 
negative, tried to rebook online but it says that have to pay for difference in price please help
negative, m showing flight delayed again would my boarding pass still be good or was my seat given away 
negative, can update my flight online bc it been cancelled flighted twice already going on hour on hold 
negative, guys for real ve been on hold for hours including one hangup please have someone reach out so can get my back 
neutral, kind of early but any idea when dates through the first week of sept will come available 
negative, the last times ve arrived our gate has been blocked by slow to depart plane leading to min delays
negative, been on hold for gt minutes about my cancelled flightled flight still not talked to anyone and flight is soon what gives 
negative, hoping you answer the phone today 
negative, husband on hold hrs got disconnected new wait min can confirm res due to the fact he booked on line nuts 
positive, thanks do yall expect to be operational tomorrow out of nashville 
negative, why have you guys jacked up the prices after you said prices were going to be lowered smh
negative, on hold for hours and then you hung up cancelled flightled flights running out of daycare for our kids who are trapped at home 
negative, this is really unhelpful why can i rebook online svl i
negative, allows other passengers harass after their gate agents mistakefurious they are doing nothing about it amp my yo was scared
negative, flight was cancelled flightled and it won let me rebook online wait time on phone is too long please help
neutral, guys we ve got to do something about the inability to check in online for international flight that has 
neutral, is it temporary site glitch or are you no longer offering flights from grr to geg after feb can find any online 
negative, won answer their phones horribleservice neveragain frustrated answerthephone
negative, we have been stuck in sju for several hours and no one is answering here really tough to luv sw no response is bad 
positive, nice work on the update 
negative, you guys there are we on hour of our phone hold at am bc of volume or short staffing 
negative, its cool that my bags take bit longer dont give me baggage blue balls turn the carousel on tell me it coming then not 
positive, yesterday on my way from ewr to fll just after take off wheelsup jetbluesofly xkiy kq j
neutral, hope so because fly very often and would hate to change airlines 
neutral, flight to savannah ga
negative, they weren on any flight they just came late flight your jetblue employee just informed us 
negative, everyone is here but our pilots are no where to be found and my last flight the plane was dirty that had to clean my area amp seat 
neutral, update on flight would be appreciated when you have time thanks
neutral, check dm please 
negative, hey guys why did my last flight earn me pts sywlmtzek
